weekday,hours,nonblank_hours,blank_hours,mean_nonblank_only,mean_if_blank_is_zero,total
0,4824,4573,251,4.710911874043298,4.465796019900497,21543.0
1,4824,4508,316,4.330967169476486,4.04726368159204,19524.0
2,4872,4575,297,4.3475409836065575,4.082512315270936,19890.0
3,4872,4525,347,4.264309392265194,3.960591133004926,19296.0
4,4848,4557,291,4.383366249725697,4.120255775577558,19975.0
5,4848,4597,251,4.442897541875136,4.212871287128713,20424.0
6,4896,4638,258,4.603924105217766,4.361315359477124,21353.0
